ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
MYS,55190,66025,69042,75738,80585,86531,100495,103088,104689,113042,123119,127509,137388,144165,154467,172206,177244,191434,198956,184106,202199,212685,221584,226989,MYS,3.031,3.529,3.595,3.844,3.988,4.175,4.727,4.728,4.683,4.937,5.257,5.329,5.627,5.792,6.090,6.663,6.732,7.139,7.287,6.625,7.151,7.395,7.578,7.638,MYS,80.71,87.37,86.07,86.10,78.66,78.12,79.93,79.95,91.32,90.73,92.64,95.41,94.84,90.43,83.86,88.36,96.34,106.17,121.16,128.65,131.37,132.96,135.15,149.93,MYS,198587.56,252184.59,171393.52,246665.16,263676.11,271818.84,279098.38,MYS,10.9,12.17,7.32,9.54,9.33,9.45,9.55
MDV,96,95,92,119,218,299,299,291,307,339,258,282,362,399,409,427,503,547,571,619,667,709,721,728,MDV,0.446,0.428,0.405,0.509,0.912,1.220,1.193,1.136,1.173,1.266,0.947,1.016,1.281,1.388,1.397,1.435,1.663,1.775,1.820,1.937,2.048,2.137,2.131,2.109,MDV,6.86,8.88,7.06,6.34,7.12,6.83,7.58,9.47,11.36,8.56,7.96,21.00,32.72,33.80,30.05,38.37,31.12,32.01,28.17,28.41,34.18,58.94,79.63,76.81,MDV,130.89,343.53,305.08,486.61,684.1,706.85,727.13,MDV,0.61,1.4,1.12,1.64,2.1,2.13,2.15
MLI,383,406,380,393,387,406,412,446,426,447,462,462,478,500,500,528,534,568,588,608,628,659,685,709,MLI,0.048,0.050,0.046,0.046,0.044,0.045,0.045,0.047,0.044,0.045,0.045,0.044,0.044,0.045,0.043,0.044,0.043,0.045,0.045,0.045,0.045,0.046,0.046,0.046,MLI,29.67,29.94,29.11,30.47,33.33,31.33,34.33,35.52,39.17,28.22,27.34,24.87,25.19,19.35,19.06,13.45,21.55,19.11,19.30,17.30,16.87,16.21,17.07,16.95,MLI,30794.15,31483.01,70241.63,87079.09,76827.88,77134.18,77437.93,MLI,3.87,3.5,6.85,7.29,5.49,5.35,5.21
MLT,2348,2236,2194,2839,2537,2414,2354,2509,2411,2442,2205,2681,2174,2561,2607,2734,2609,2763,1672,1527,1598,1588,1561,1582,MLT,6.255,5.892,5.715,7.314,6.470,6.101,5.905,6.252,5.972,6.019,5.411,6.552,5.295,6.219,6.310,6.593,6.262,6.601,3.974,3.612,3.763,3.726,3.649,3.687,MLT,138.46,119.44,102.80,110.59,111.24,121.57,114.04,121.04,130.02,141.63,98.49,136.46,115.26,186.41,187.57,206.04,218.15,209.22,191.84,193.59,240.20,211.67,199.23,188.84,MLT,2605.29,2710.72,2553.05,3166.97,2053.76,2025.46,1921.13,MLT,6.94,6.85,6.26,7.64,4.84,4.75,4.49
MRT,823,895,2499,2573,2659,2806,2694,2781,2799,2846,2841,2885,2666,2898,3006,3114,3025,3032,3124,3127,3143,3297,3424,3563,MRT,0.407,0.430,1.167,1.168,1.173,1.202,1.121,1.123,1.098,1.083,1.049,1.034,0.926,0.977,0.984,0.990,0.934,0.911,0.913,0.889,0.871,0.890,0.902,0.916,MRT,86.36,90.09,91.41,91.13,96.95,90.87,106.32,115.65,97.46,80.64,83.55,114.81,115.24,70.11,66.33,124.50,111.65,90.95,95.55,270.12,266.68,264.94,261.30,235.09,MRT,5976.91,8039.71,11950.56,11475.54,12951.01,13153.86,13343.16,MRT,2.95,3.44,4.41,3.65,3.59,3.55,3.51
MUS,1205,1251,1321,1297,1268,1433,1433,1530,1557,1668,1967,2355,2034,2102,2281,2404,2448,2527,2671,2760,2849,2982,3100,3212,MUS,1.141,1.171,1.220,1.180,1.138,1.270,1.254,1.325,1.335,1.418,1.659,1.975,1.697,1.746,1.888,1.982,2.012,2.072,2.183,2.250,2.315,2.415,2.501,2.581,MUS,57.70,58.75,55.40,52.42,52.46,49.43,60.26,59.40,48.55,40.46,43.63,42.69,43.64,55.05,52.13,72.07,71.26,69.88,68.74,70.50,66.45,62.58,68.51,66.37,MUS,1576.66,1834.36,2439,2854.48,3334.11,3441.62,3537.55,MUS,1.49,1.63,2.06,2.35,2.71,2.79,2.85
MEX,310682,320419,324088,320742,340748,328799,335800,350589,375152,367096,377595,375254,382097,387616,397671,419803,438227,453195,446765,443052,459916,468821,478828,474583,MEX,3.609,3.646,3.611,3.499,3.643,3.447,3.455,3.542,3.726,3.588,3.635,3.562,3.580,3.587,3.636,3.791,3.909,3.992,3.886,3.806,3.901,3.928,3.962,3.879,MEX,129.91,137.36,139.73,143.42,142.38,168.92,169.61,175.69,180.43,187.13,167.82,176.36,177.85,172.76,167.17,166.90,166.59,173.15,176.11,186.91,175.99,179.70,166.75,168.50,MEX,494151.02,515961.21,576489.52,641308.82,643375.43,652861.29,663424.95,MEX,5.74,5.41,5.55,5.79,5.46,5.47,5.49
MDA,32166,25913,20537,16750,13422,11297,11817,11115,9761,7616,6741,7293,6998,7659,7895,8321,7949,8007,7035,7036,7254,7304,7177,6958,MDA,7.370,5.922,4.690,3.829,3.078,2.604,2.743,2.604,2.312,1.828,1.641,1.805,1.763,1.966,2.062,2.209,2.140,2.180,1.935,1.952,2.030,2.062,2.042,1.995,MDA,1096.65,1390.79,2112.92,2225.33,3283.56,3456.01,3728.00,3857.04,4243.15,4530.24,4639.93,4581.72,4486.43,4439.26,4188.71,4208.62,4090.89,2505.18,1872.79,1578.81,1202.41,902.16,764.69,734.50,MDA,38029.8,16651.89,10796.14,12762.86,11338.71,11433.49,11350.63,MDA,8.71,3.84,2.63,3.39,3.17,3.23,3.23
MNG,14095,13081,11683,10938,10204,10035,12101,10905,11080,11299,11248,11437,12177,11408,10006,10454,11190,11950,12276,13053,13380,13737,13976,14258,MNG,6.453,5.898,5.207,4.833,4.475,4.367,5.224,4.669,4.703,4.755,4.692,4.727,4.984,4.621,4.009,4.138,4.372,4.605,4.663,4.885,4.932,4.988,4.998,5.022,MNG,152.20,188.85,214.15,206.11,194.72,224.39,217.46,1056.32,1007.42,1016.19,1026.13,1054.03,1048.86,1106.86,1001.14,1148.28,1014.99,917.67,782.05,707.41,622.66,494.34,432.49,466.75,MNG,58042.68,59119.42,51756.46,27669.26,24860.38,25428.95,25944.26,MNG,26.57,25.73,21.59,10.95,9.16,9.23,9.28
MAR,22602,23706,25377,26096,28235,28818,28482,29728,31158,33387,35251,38146,38509,38264,49353,53166,54043,55733,55019,54434,59939,65340,67220,69902,MAR,0.916,0.943,0.992,1.004,1.069,1.074,1.046,1.076,1.112,1.177,1.228,1.314,1.314,1.293,1.653,1.765,1.778,1.817,1.777,1.740,1.894,2.038,2.067,2.118,MAR,89.54,92.59,103.56,114.75,114.99,132.07,127.67,134.67,126.12,130.96,135.69,127.38,128.42,123.97,118.71,124.05,124.53,124.62,123.79,126.50,125.51,129.35,128.56,121.69,MAR,37543.27,41902.28,50974.38,70022.09,76087.38,78381.4,80436.72,MAR,1.52,1.56,1.78,2.32,2.4,2.44,2.47
MOZ,1159,978,1159,1352,1149,1264,1102,1187,1300,1304,1601,1927,2018,2769,2869,2678,2844,3248,3373,3632,3870,4370,4630,4851,MOZ,0.085,0.070,0.081,0.091,0.074,0.079,0.067,0.070,0.075,0.073,0.088,0.103,0.104,0.139,0.140,0.127,0.132,0.146,0.148,0.155,0.161,0.178,0.184,0.188,MOZ,534.58,481.92,442.06,411.66,376.70,321.36,283.48,310.74,248.22,213.71,194.40,148.19,129.28,119.14,109.57,101.57,94.51,66.52,52.51,58.55,63.75,50.52,51.78,42.16,MOZ,40943.07,36851.04,215278.01,349872.74,379823.55,380073.24,380308.29,MOZ,3.02,2.31,11.78,16.65,15.85,15.46,15.09
MMR,4330,4263,4555,5083,5950,7221,7573,7587,8240,8803,8720,7245,7934,9294,10762,13427,12227,12776,12981,12565,13014,13479,13969,14181,MMR,0.103,0.100,0.105,0.115,0.133,0.159,0.165,0.163,0.174,0.184,0.180,0.148,0.161,0.187,0.216,0.268,0.242,0.251,0.254,0.244,0.251,0.257,0.265,0.266,MMR,300.98,341.59,299.80,297.79,306.52,295.74,288.36,290.75,251.94,235.03,201.59,195.80,186.88,171.95,149.26,95.00,83.59,69.48,62.03,59.94,60.58,67.25,81.61,79.06,MMR,875447.03,943040.18,185137.09,223012.72,325367.14,526919.84,528416.22,MMR,20.78,20.8,3.82,4.44,6.27,10.07,10.01
NAM,1159,1297,1330,1563,1662,1572,1457,1660,1704,1586,2103,2462,2603,2730,2864,3033,3207,3376,3333,3589,3768,3780,3998,4170,NAM,0.819,0.885,0.879,1.002,1.035,0.950,0.854,0.944,0.941,0.854,1.108,1.275,1.329,1.378,1.429,1.496,1.562,1.623,1.579,1.674,1.729,1.704,1.769,1.810,NAM,41.53,39.25,36.81,38.01,38.11,37.24,36.78,74.62,97.33,105.45,102.69,117.92,129.49,86.55,81.84,82.51,71.05,69.15,74.50,77.53,85.44,85.74,75.97,67.47,NAM,7299.95,7245.02,33985.47,30934.05,37647.57,37855.65,38049.27,NAM,5.16,4.38,17.91,15.26,17.28,17.07,16.84
NPL,1061,1308,1381,1522,1861,2019,2130,2362,2506,3272,3353,3597,2923,3153,3002,3383,3467,3565,3692,4139,4395,4497,4460,4522,NPL,0.059,0.070,0.072,0.078,0.093,0.098,0.101,0.109,0.113,0.144,0.145,0.152,0.121,0.129,0.120,0.134,0.135,0.137,0.141,0.156,0.164,0.166,0.162,0.163,NPL,21.37,19.96,15.96,13.21,13.69,12.58,17.44,18.54,15.58,16.87,22.09,22.76,17.34,22.02,22.13,21.54,16.67,22.98,26.70,26.97,28.37,33.53,34.69,35.27,NPL,25118.33,26905.31,31234.02,30862.52,32738.69,33160.97,40762.72,NPL,1.39,1.31,1.35,1.22,1.22,1.22,1.48
NLD,161272,168681,167136,170748,170607,173049,182156,175357,175224,169928,173229,178230,178875,182315,182229,178600,173467,171532,170401,167672,178014,166548,162982,161855,NLD,10.831,11.250,11.068,11.225,11.138,11.222,11.741,11.238,11.169,10.773,10.922,11.174,11.150,11.300,11.234,10.956,10.593,10.432,10.325,10.124,10.714,9.993,9.751,9.658,NLD,346.20,320.71,296.73,315.93,302.83,301.92,310.47,283.76,270.19,241.12,225.74,231.70,236.61,240.23,235.68,236.28,233.14,225.04,231.21,237.82,239.30,236.86,243.29,258.22,NLD,224468.09,235053.01,220319.9,217083.63,212418.45,200143.54,195873.76,NLD,15.07,15.24,13.89,13.32,12.78,12.01,11.72
NZL,22877,23148,25291,24819,24962,25905,27269,30017,30438,32026,34778,36766,36768,39211,38773,40575,41311,39704,39033,35367,34911,34179,35829,35830,NZL,6.733,6.717,7.219,6.963,6.889,7.049,7.336,8.000,8.045,8.390,9.015,9.411,9.280,9.752,9.505,9.815,9.871,9.380,9.124,8.181,7.992,7.744,8.034,7.952,NZL,235.20,252.66,236.11,244.33,239.53,214.95,189.09,185.80,178.86,186.51,183.52,180.73,176.04,161.47,156.23,171.04,168.12,169.32,174.59,186.64,181.96,178.85,181.02,185.91,NZL,65689.82,69576.05,74422.83,82066.57,76141.66,75851.12,78130.98,NZL,19.33,18.93,19.29,19.85,17.43,17.18,17.52
NIC,1957,1960,2277,2239,2534,2701,2888,3085,3535,3640,3761,4002,4136,4399,4421,4399,4271,4632,4584,4776,5040,5048,5051,5029,NIC,0.473,0.463,0.524,0.503,0.556,0.580,0.607,0.636,0.716,0.725,0.737,0.773,0.788,0.827,0.821,0.806,0.773,0.828,0.809,0.832,0.866,0.855,0.843,0.827,NIC,150.86,162.25,159.54,183.86,217.72,185.89,112.87,130.66,133.09,120.86,125.44,110.94,110.54,127.51,118.35,104.98,87.04,87.20,84.92,101.42,96.57,101.81,105.01,107.32,NIC,10263.48,10769.14,14043.29,16831.87,15794.35,16068.64,16323.04,NIC,2.48,2.31,2.75,3.09,2.71,2.72,2.72
NER,638,638,601,599,622,647,642,657,653,720,704,765,693,710,799,771,811,964,880,915,955,1031,1070,1114,NER,0.082,0.080,0.073,0.070,0.070,0.071,0.068,0.067,0.064,0.068,0.064,0.067,0.059,0.058,0.063,0.058,0.059,0.068,0.060,0.060,0.060,0.062,0.062,0.062,NER,44.99,45.16,50.20,53.67,57.42,56.35,62.85,67.38,56.61,59.53,60.40,58.52,56.36,46.26,46.46,68.13,62.54,56.21,51.33,48.68,44.77,45.48,42.66,40.78,NER,6929.28,8185.43,11124.28,10258.53,11219.51,11342.12,11460.92,NER,0.89,0.89,1.01,0.78,0.71,0.69,0.67
NGA,69189,77237,88017,85997,74588,78446,91360,85567,81402,82087,89814,92889,86377,92252,90169,93530,84030,78972,87133,73716,67041,73561,76923,78940,NGA,0.724,0.787,0.875,0.834,0.705,0.724,0.822,0.751,0.697,0.685,0.731,0.737,0.668,0.696,0.663,0.670,0.586,0.537,0.576,0.474,0.420,0.448,0.456,0.455,NGA,167.32,211.01,164.52,190.31,171.82,183.34,241.14,217.85,181.52,177.25,169.34,160.29,161.41,142.45,100.50,110.67,108.56,103.82,109.06,116.22,105.30,87.07,87.82,97.04,NGA,163274.18,184046.2,314978.54,374421.7,292211.74,296799.95,301010.13,NGA,1.71,1.7,2.56,2.68,1.83,1.81,1.78
NOR,37979,35434,38101,40408,42387,42564,42881,45136,46817,48248,43137,43478,42813,45336,45411,44153,44626,45255,44086,42776,43926,42612,42454,42862,NOR,8.957,8.313,8.891,9.376,9.779,9.763,9.777,10.228,10.544,10.802,9.604,9.630,9.437,9.942,9.897,9.548,9.558,9.586,9.227,8.846,8.981,8.619,8.501,8.500,NOR,213.86,199.22,189.48,194.90,190.15,178.48,181.94,165.49,147.46,130.96,127.22,132.08,133.44,141.41,138.75,131.35,125.39,124.16,115.77,126.55,133.57,138.26,134.93,135.06,NOR,67466.1,70569.1,71217.9,71578.06,65710.06,64181.15,63536.73,NOR,15.91,16.19,15.86,15.48,13.43,12.98,12.72
OMN,14820,18299,17449,16528,14890,18118,19149,19767,19291,21724,24524,27787,29685,31747,31279,32703,34695,36341,38642,41555,41817,46349,48223,50079,OMN,8.188,9.707,8.877,8.087,7.059,8.409,8.800,9.077,8.885,10.000,11.185,12.410,12.860,13.288,12.694,12.965,13.580,14.142,14.899,15.603,14.920,15.323,14.551,13.787,OMN,124.47,123.58,378.97,398.34,383.17,302.41,265.44,152.15,165.79,145.13,156.22,125.62,96.94,114.59,107.05,115.59,108.72,132.79,145.35,137.09,122.97,106.02,122.88,123.61,OMN,35356.29,41448.64,35439.11,48099.66,59041.98,60705.59,62201.55,OMN,19.53,19.24,16.16,19.07,21.07,20.07,18.77
PAK,62208,63520,69806,75050,78547,83900,89181,92047,93302,102116,103117,106079,108221,115764,129409,132376,143195,159878,158342,158751,153899,155516,156435,158390,PAK,0.560,0.556,0.595,0.624,0.636,0.662,0.686,0.689,0.680,0.726,0.717,0.722,0.723,0.760,0.834,0.838,0.890,0.975,0.948,0.933,0.889,0.883,0.873,0.870,PAK,60.37,61.06,62.76,59.75,60.60,61.59,63.43,66.90,70.46,76.24,76.96,81.01,86.01,84.52,80.20,92.31,90.20,90.47,90.83,97.07,102.71,104.58,107.40,107.63,PAK,172551.29,209249.97,247348.8,299134.72,354528.62,362475.09,369734.58,PAK,1.55,1.65,1.72,1.89,2.05,2.06,2.06
PAN,2622,3071,3685,3794,4046,4395,4409,4662,5747,4845,4964,6349,5581,6240,5799,6013,6871,6668,9998,11599,12517,13794,13854,13764,PAN,1.054,1.210,1.422,1.434,1.498,1.594,1.567,1.623,1.959,1.618,1.625,2.037,1.756,1.925,1.755,1.786,2.004,1.910,2.814,3.208,3.403,3.688,3.644,3.562,PAN,168.28,160.09,152.68,144.65,137.05,128.72,136.72,119.86,98.61,105.99,115.78,95.45,88.55,88.10,82.02,63.63,61.12,57.39,61.59,71.08,69.13,66.55,65.57,60.72,PAN,6814.45,8817.59,9158.75,10588.62,15428.76,15860.46,16248.77,PAN,2.74,3.2,3,3.15,4.19,4.24,4.27
PNG,2552,2609,2576,2711,2560,2604,2241,2451,2960,2536,2695,2753,3061,2978,3209,3878,4368,4424,4869,5192,5523,5036,5120,5166,PNG,0.614,0.612,0.590,0.605,0.557,0.552,0.463,0.493,0.580,0.484,0.501,0.499,0.541,0.513,0.539,0.636,0.699,0.691,0.743,0.774,0.805,0.718,0.714,0.706,PNG,190.37,187.58,157.11,129.76,123.06,111.58,112.31,178.20,211.36,202.86,214.85,162.43,245.16,219.86,211.33,226.97,218.51,213.99,204.99,191.83,186.97,161.97,152.52,124.53,PNG,29504.07,35410.12,8257.46,9453.03,10667.6,10888.09,11087.46,PNG,7.1,7.51,1.54,1.55,1.56,1.55,1.55
PRY,2235,2185,2619,2980,3462,3919,3883,4292,4502,4511,3732,3874,4096,4139,4169,3905,4046,4179,4328,4723,5345,5442,5444,5408,PRY,0.526,0.501,0.586,0.650,0.738,0.816,0.790,0.855,0.877,0.861,0.697,0.709,0.735,0.728,0.720,0.661,0.673,0.682,0.694,0.744,0.827,0.828,0.814,0.795,PRY,31.42,29.54,31.00,32.95,43.95,49.44,46.59,45.94,44.32,44.54,44.32,49.15,49.10,50.40,49.58,58.98,56.48,57.04,52.43,65.44,65.83,73.30,84.01,73.30,PRY,63833.49,60568.5,39439.47,90747.01,50027.5,50445.12,50843.95,PRY,15.02,12.61,7.37,15.37,7.74,7.67,7.6
PER,21011,20386,21201,22215,22782,25899,28443,28390,27324,29369,28975,26838,27983,27509,31530,31388,30808,33392,36453,38411,41903,44588,46397,47777,PER,0.965,0.918,0.936,0.962,0.969,1.082,1.167,1.145,1.084,1.147,1.114,1.018,1.047,1.016,1.151,1.132,1.099,1.179,1.273,1.328,1.432,1.506,1.547,1.573,PER,167.20,178.11,180.22,175.98,154.12,141.79,143.83,140.82,145.66,141.51,117.09,120.74,110.97,114.82,110.96,112.84,94.80,86.62,77.00,79.25,76.56,73.76,79.14,82.13,PER,59544.2,63406.51,66574.04,68557.46,71614.29,73289.7,74806.96,PER,2.73,2.65,2.56,2.47,2.45,2.47,2.49
PHL,40326,40806,44634,49089,58760,64878,70476,76265,74504,74949,75315,74694,72568,75031,77266,78292,72996,78601,82417,82564,88558,89298,94761,101934,PHL,0.651,0.643,0.687,0.738,0.863,0.932,0.990,1.048,1.001,0.986,0.970,0.942,0.896,0.908,0.917,0.912,0.836,0.884,0.912,0.899,0.948,0.939,0.980,1.036,PHL,121.27,115.04,126.32,127.32,135.18,133.53,134.98,116.14,108.72,108.65,108.60,91.90,83.55,76.00,72.13,89.78,91.55,87.17,84.69,91.58,93.58,108.08,111.72,113.25,PHL,96355.44,125623.45,150078.87,146433.72,159940.45,163797.79,167297.55,PHL,1.56,1.8,1.93,1.71,1.71,1.72,1.73
POL,311781,306348,302028,311140,307570,318754,301944,299435,288695,283744,288694,284354,275575,285303,310981,309738,322294,322933,324275,311519,331746,328390,320389,323563,POL,8.173,8.008,7.877,8.100,7.998,8.284,7.847,7.785,7.512,7.391,7.528,7.422,7.199,7.459,8.135,8.107,8.438,8.456,8.491,8.156,8.685,8.596,8.385,8.467,POL,953.67,1076.58,1099.25,1103.12,1082.73,1050.87,969.10,889.83,808.04,761.43,710.22,709.34,692.19,689.70,643.72,615.57,552.41,431.95,403.73,391.03,387.80,367.01,373.24,348.08,POL,474016.06,458557.08,392642.04,411811.67,426485.87,422791.47,414606.89,POL,12.43,11.92,10.24,10.78,11.16,11.07,10.85
PRT,43247,45208,49025,47997,48878,53212,51282,53890,58073,65244,64442,63850,67948,62977,64290,67410,60489,59845,55381,55190,49279,49406,50071,48797,PRT,4.369,4.557,4.925,4.799,4.863,5.270,5.057,5.293,5.681,6.357,6.253,6.169,6.536,6.033,6.136,6.413,5.741,5.669,5.240,5.216,4.653,4.662,4.722,4.600,PRT,104.76,100.54,107.35,116.45,114.09,113.63,122.35,124.69,124.54,121.83,119.41,112.64,106.38,121.09,120.75,125.68,154.17,154.99,162.04,180.98,173.82,179.25,201.66,197.09,PRT,58227.18,69204.41,88594.19,101594.26,71681.47,71977.89,72524.22,PRT,5.88,6.85,8.6,9.67,6.77,6.79,6.84
PRI,622,614,596,606,626,640,635,631,625,622,621,616,611,641,673,670,659,597,585,584,631,61,61,61,PRI,0.177,0.173,0.166,0.167,0.171,0.173,0.171,0.168,0.166,0.164,0.164,0.162,0.161,0.169,0.178,0.178,0.176,0.160,0.157,0.157,0.170,0.016,0.017,0.017,PRI,6.61,6.51,5.31,4.89,4.10,4.04,3.90,3.57,3.20,2.64,2.08,1.99,1.90,1.89,2.21,2.31,2.49,2.61,2.59,2.59,2.67,2.79,2.89,2.88,PRI,2941.16,2888.35,2963.27,3118.67,3199.25,3247.52,3293.25,PRI,0.84,0.78,0.78,0.83,0.86,0.88,0.89
QAT,16240,17322,18395,19056,20233,20728,22578,27284,28678,31302,30872,31835,32540,36096,40545,42324,46942,52971,54394,61481,71315,78051,82398,84618,QAT,34.082,35.706,37.570,38.732,40.866,41.361,44.056,51.530,52.107,54.708,51.999,52.034,51.671,54.671,56.283,51.542,48.513,45.963,40.021,39.308,40.758,40.845,40.184,39.018,QAT,304.86,308.07,332.93,267.85,259.56,276.35,290.16,259.14,194.51,187.12,174.58,212.21,191.93,198.45,166.84,163.98,135.15,112.17,101.69,96.45,85.60,79.17,79.09,81.61,QAT,21978.48,27343.77,44439.7,61388.82,98391.53,100891.32,103155.12,QAT,46.12,54.56,74.85,74.76,56.23,52.8,50.31
ROU,184703,151217,135328,126710,123570,129247,132908,122529,107376,90952,94723,101710,100436,104541,101659,101633,106205,102474,97750,84405,82091,91013,86945,79884,ROU,7.903,6.474,5.810,5.462,5.353,5.628,5.819,5.394,4.752,4.045,4.231,4.559,4.514,4.709,4.588,4.596,4.813,4.655,4.450,3.852,3.755,4.173,3.997,3.682,ROU,541.81,629.91,745.42,816.91,822.30,830.99,819.39,861.81,909.00,913.74,903.95,843.76,799.21,782.96,713.14,727.16,656.54,545.71,414.21,397.73,375.94,358.35,373.49,371.08,ROU,247279.34,177197.36,132627.54,139578.17,117930.7,126194.42,121762.23,ROU,10.58,7.72,5.92,6.31,5.39,5.79,5.6
RUS,2439669,2300079,2080777,1994751,1760620,1753147,1717263,1592698,1573333,1618139,1663997,1670223,1662167,1717016,1734136,1723289,1785151,1812492,1803141,1699876,1710313,1799564,1818349,1803249,RUS,16.468,15.481,13.984,13.402,11.835,11.798,11.574,10.756,10.651,10.987,11.338,11.427,11.422,11.851,12.015,11.973,12.421,12.617,12.550,11.830,11.909,12.546,12.701,12.625,RUS,562.98,622.34,788.44,897.40,1049.41,1128.70,1191.62,1202.20,1258.09,1188.15,1083.37,1033.10,990.16,944.04,896.72,866.17,803.76,799.27,715.97,702.66,644.58,545.66,525.30,507.85,RUS,3593581.92,2645144.69,2771222,2527172.17,2603289.63,2777724.31,2803398.49,RUS,24.26,17.8,18.88,17.56,18.13,19.37,19.58
RWA,634,645,608,573,544,575,591,609,612,637,622,606,603,642,537,622,659,685,708,736,769,804,837,871,RWA,0.088,0.093,0.093,0.094,0.095,0.102,0.100,0.094,0.085,0.081,0.074,0.069,0.067,0.070,0.058,0.066,0.068,0.069,0.069,0.070,0.071,0.072,0.073,0.074,RWA,14.41,15.41,15.04,17.22,36.05,26.92,28.71,27.94,52.50,47.42,49.82,72.89,67.57,69.61,65.79,68.78,65.43,57.97,53.08,47.10,41.71,36.89,36.34,35.73,RWA,3251.96,3231.68,4900.33,4963.96,6547.47,6620.25,6689.95,RWA,0.45,0.57,0.58,0.53,0.6,0.59,0.58
KNA,64,71,70,69,86,81,92,74,84,92,111,103,105,109,117,116,123,122,127,131,135,141,144,144,KNA,1.572,1.732,1.683,1.653,2.037,1.888,2.126,1.696,1.900,2.049,2.443,2.238,2.243,2.293,2.408,2.355,2.478,2.424,2.492,2.537,2.581,2.660,2.689,2.658,KNA,72.57,64.61,88.32,67.96,70.27,62.55,50.60,50.00,103.96,114.09,116.65,106.89,73.95,66.08,63.28,65.04,62.03,56.97,60.52,62.85,64.57,79.13,75.17,84.00,KNA,97.71,124.18,161.48,167.94,184.44,189.78,194.57,KNA,2.39,2.9,3.55,3.42,3.52,3.58,3.63
LCA,210,208,210,190,223,232,233,209,220,238,328,331,341,356,397,400,420,438,459,478,497,518,529,529,LCA,1.523,1.481,1.478,1.322,1.533,1.576,1.562,1.384,1.438,1.537,2.089,2.087,2.130,2.198,2.430,2.421,2.503,2.574,2.655,2.728,2.804,2.887,2.925,2.902,LCA,118.45,103.38,114.47,95.71,106.23,92.65,88.18,87.48,118.58,136.67,152.87,156.21,139.06,122.10,112.84,140.20,127.04,116.73,110.04,111.25,101.44,117.36,123.71,124.86,LCA,278.12,334.15,404.94,473.07,563.92,582.34,598.77,LCA,2.01,2.27,2.58,2.86,3.18,3.25,3.31
VCT,93,88,91,77,127,136,135,120,158,170,166,166,176,183,202,204,211,220,227,235,243,253,259,259,VCT,0.865,0.816,0.838,0.709,1.176,1.261,1.254,1.111,1.460,1.579,1.537,1.541,1.629,1.693,1.860,1.876,1.935,2.015,2.083,2.152,2.222,2.316,2.368,2.367,VCT,61.97,54.86,62.26,51.74,61.19,53.87,53.71,48.14,80.75,82.60,103.35,91.67,70.97,59.61,57.14,64.66,84.94,82.49,76.73,80.68,70.68,117.68,124.16,120.00,VCT,140.64,188.11,222.54,261,301.56,310.88,319.22,VCT,1.31,1.74,2.06,2.4,2.76,2.84,2.92
WSM,134,132,143,139,118,129,137,154,150,155,166,161,151,150,147,141,159,159,161,168,175,186,189,191,WSM,0.825,0.804,0.865,0.829,0.702,0.758,0.801,0.895,0.865,0.890,0.949,0.916,0.856,0.844,0.821,0.785,0.878,0.873,0.879,0.909,0.939,0.991,1.000,1.001,WSM,65.18,80.32,73.20,66.60,79.56,80.01,85.47,135.12,260.41,175.45,167.28,183.65,177.86,142.28,135.77,148.11,141.28,149.46,140.47,160.83,154.74,130.37,137.99,147.24,WSM,287.11,279.86,318.53,307.21,340.98,348.88,356.09,WSM,1.76,1.64,1.82,1.71,1.83,1.86,1.89
